,titles,subtitles,links
35,JOR BLIMEY,Jorge Mendes 'doing all he can to get Cristiano Ronaldo out of Man Utd',https://www.thesun.co.uk/sport/19386428/jorge-mendes-cristiano-ronaldo-man-utd-transfer/
36,'WORLD CLASS',England fans love Lionesses 's***housery' after wasting 11 minutes of final,https://www.thesun.co.uk/sport/football/19386022/england-fans-lionesses-wasting-time-euro-2022-final/
37,GREAT SCOTT,Alex Scott breaks down in tears on live TV as she celebrates Euro 2022 win,https://www.thesun.co.uk/sport/football/19379908/england-euros-alex-scott-crying-twitter-reaction/
38,LION'S SHARE,England's Euro 2022 heroes watched by peak audience of staggering 17.4m on BBC,https://www.thesun.co.uk/sport/football/19383182/england-euro-audience-bbc-germany/
39,'ONLY JUST BEGUN',Fans all say same thing as Gabby Logan hails ‘game-changing’ Euros win,https://www.thesun.co.uk/sport/19382315/fans-gabby-logan-england-lionesses-euros-win/
40,'LIKE FLINTOFF AFTER THE ASHES',Fans in hysterics as Bronze parties in goggles after Euros,https://www.thesun.co.uk/sport/19385671/england-euros-celebrations-lucy-bronze-goggles/
41,ARSENAL NEWS,"Leicester 'expecting Tielemans bid', Werner LATEST, Leno closing in on Fulham",https://www.thesun.co.uk/sport/19348563/arsenal-transfer-news-live-youri-tielemans-timo-werner/
42,CHELSEA LATEST,"Blues near £50m agreement for Marc Cucurella, Wesley Fofana £84m price tag",https://www.thesun.co.uk/sport/19207345/chelsea-transfer-news-live-marc-cucurella-frenkie-de-jong-fofana/
43,RED DEVILS LATEST,"Frenkie de Jong FINAL bid latest, Ronaldo admission, Tielemans interest",https://www.thesun.co.uk/sport/19259195/man-utd-transfer-news-live-frenkie-de-jong-cristiano-ronaldo-tielemans/
44,RED & BURIED,Supercomputer gives Man Utd ONE PER CENT chance of winning Premier League,https://www.thesun.co.uk/sport/19376214/premier-league-supercomputer-man-utd/
45,OL NO,Tottenham in huge blow as Skipp suffers gruesome training ground injury,https://www.thesun.co.uk/sport/football/19385428/tottenham-oliver-skipp-training-injury-conte/
46,MOUR SETTLED,Abraham has NO interest in Chelsea return as he ‘feels at home at Roma’,https://www.thesun.co.uk/sport/19388335/tammy-abraham-no-interest-chelsea-transfer-mourinho-roma/
47,WE TAV A PROBLEM,Carragher blames Tavares for Arsenal's failure to make Champions League,https://www.thesun.co.uk/sport/football/19387439/jamie-carragher-nuno-tavares-arsenal-champions-league/
48,'EXHAUSTING',Thomas Tuchel admits Chelsea are still well off it ahead of Premier League,https://www.thesun.co.uk/sport/19381565/chelsea-thomas-tuchel-blast-udinese/
49,RACING DEAL,Horse racing - FREE BETS: Get £30 bonus with Betfair today - 18+ T&Cs apply,https://www.thesun.co.uk/sport/horseracing/18796015/betfair-free-bets-horse-racing-betting-offers-uk-bonus/
50,NEXT UP,"Get Liz Truss at 25/1, or Rishi Sunak at 40/1 to be next Tory party leader",https://www.thesun.co.uk/sport/betting-tips/19323933/william-hill-next-prime-minister-rishi-sunak-liz-truss/
51,BRING THE PARTY,Get 100% deposit bonus up to £400 & £40 FREE PLAY with Party Poker,https://www.thesun.co.uk/sport/betting-tips/19283142/party-poker-new-customer-offer-deposit-bonus/
52,SUMMER OF FUN,Inter Milan star Lautaro Martinez's model Wag shares 12 stunning bikini pics,https://www.thesun.co.uk/sport/football/19370470/inter-milan-lautaro-martinez-agustina-gandolfo/
53,CRIS CROTCH,Ronaldo shows ripped physique in CR7 briefs with cryptic message amid quit saga,https://www.thesun.co.uk/sport/19331971/cristiano-ronaldo-ripped-physique-cr7-briefs/
54,CINDY'S A BELTER,Dele Alli's girlfriend Cindy stuns in belted swimsuit during photoshoot,https://www.thesun.co.uk/tvandshowbiz/19353956/cindy-kimberly-photoshoot-dele-alli/
55,DAVE KIDD,"Chelsea, Arsenal & Spurs still miles off title pace… as they have been for years",https://www.thesun.co.uk/sport/football/19390100/dave-kidd-chelsea-arsenal-spurs-miles-off-title-pace/
56,TIM VICKERY,How Brazil are copying England's approach to develop their own women's league,https://www.thesun.co.uk/sport/19382728/brazil-england-womens-league/
57,MARK IRWIN,Tuchel’s made NO attempt to hide his anger & Blues tenure could end in divorce,https://www.thesun.co.uk/sport/19354270/mark-irwin-tuchel-anger-chelsea/
58,BERNING LOVE,Bernd Leno's wife Sophie stuns in bikini while relaxing on beach spa holiday,https://www.thesun.co.uk/sport/football/19387867/arsenal-bernd-leno-wife-sophie-bikini-transfer-fulham/
59,BEAM ME UP LOTTI,Ancelotti reveals amazing Star Trek cameo but says 'I'm a terrible actor',https://www.thesun.co.uk/sport/19369846/carlo-ancelotti-star-trek-real-madrid-terrible-actor/
60,TOAD IN THE GOAL,Football team to sport toad-in-the-hole themed kits for new season,https://www.thesun.co.uk/sport/19353610/football-team-sport-toad-in-hole-kit/
61,POCKET ROCKET MAN,Meet world's shortest footballer nearly arrested posing with female fans,https://www.thesun.co.uk/sport/football/11454539/elton-arabia-worlds-smallest-footballer/
62,RIP,Arsenal pay tribute to late superfan Maria Petri with black armbands vs Chelsea,https://www.thesun.co.uk/sport/19309167/arsenal-tribute-superfan-maria-petri-death-black-armbands/
